organ,model_class_raw,phenotype_display,outcome,effect_scale,multiplicative_relative_abundance,analysis_eligible,detected_animals,total_class_count,eligibility_rule,exclusion_reason,contrast,effect,robust_se,ci95_low,ci95_high,hc3_p_value,freedman_lane_permutation_p_value,n_animals,n_water,n_sucrose,n_allulose,cohort_adjusted,q_value_global,q_value_within_organ
Liver,Neutrophils,Neutrophil-like,CLR model-predicted phenotype composition,CLR log-ratio units,0.32026060489225583,True,24,512,detected_animals>=18 and total_class_count>=24 within organ,,Allulose vs Water,-1.138620224335903,0.4099783459358389,-1.9421630168114503,-0.33507743186035555,0.005481775985868082,0.01246,24,7,9,8,true,0.19437600000000002,0.064792
Liver,Macrophages,Macrophage-like,CLR model-predicted phenotype composition,CLR log-ratio units,0.9743483298469195,True,24,5454,detected_animals>=18 and total_class_count>=24 within organ,,Sucrose vs Water,-0.025986411093727957,0.480827479364532,-0.9683909534253867,0.9164181312379309,0.9568991627119452,0.95514,24,7,9,8,true,1.0,1.0
Liver,Macrophages,Macrophage-like,CLR model-predicted phenotype composition,CLR log-ratio units,2.4301768990973853,True,24,5454,detected_animals>=18 and total_class_count>=24 within organ,,Allulose vs Water,0.8879640526852757,0.31617245170190666,0.26827743444580887,1.5076506709247424,0.004977595186027738,0.00827,24,7,9,8,true,0.161265,0.053755
Liver,Muscle Cell,Muscle-like,CLR model-predicted phenotype composition,CLR log-ratio units,0.6837765138508043,True,21,471,detected_animals>=18 and total_class_count>=24 within organ,,Sucrose vs Water,-0.38012414888506524,0.5520864337566169,-1.4621936754011928,0.7019453776310622,0.4911235585680471,0.45746,24,7,9,8,true,1.0,1.0
Liver,Muscle Cell,Muscle-like,CLR model-predicted phenotype composition,CLR log-ratio units,1.2900356370730774,True,21,471,detected_animals>=18 and total_class_count>=24 within organ,,Allulose vs Water,0.2546698436300443,0.5152383255075538,-0.7551787178194862,1.2645184050795748,0.621111402455444,0.58992,24,7,9,8,true,1.0,1.0
Liver,Endothelial Cell,Endothelial-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,2,3,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Sucrose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Liver,Endothelial Cell,Endothelial-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,2,3,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Allulose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Liver,Red blood cell,RBC-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,2,2,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Sucrose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Liver,Red blood cell,RBC-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,2,2,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Allulose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Liver,Epithelial,Epithelial-like,CLR model-predicted phenotype composition,CLR log-ratio units,1.4809097429962927,True,24,28638,detected_animals>=18 and total_class_count>=24 within organ,,Sucrose vs Water,0.3926565901444746,0.3047255934923346,-0.20459459826809423,0.9899077785570435,0.1975518054955877,0.17792,24,7,9,8,true,0.86736,0.6608457142857143
Liver,Epithelial,Epithelial-like,CLR model-predicted phenotype composition,CLR log-ratio units,4.059870487363215,True,24,28638,detected_animals>=18 and total_class_count>=24 within organ,,Allulose vs Water,1.4011510734406034,0.3076874379169478,0.7980947766279819,2.004207370253225,5.2682175207057e-06,0.00031,24,7,9,8,true,0.02418,0.00806
Liver,Apoptotic Body,Apoptotic-like,CLR model-predicted phenotype composition,CLR log-ratio units,0.5961569115899674,True,24,78022,detected_animals>=18 and total_class_count>=24 within organ,,Sucrose vs Water,-0.5172513720876204,0.4807956788767676,-1.45959358660857,0.4250908424333293,0.2820061238824436,0.25747,24,7,9,8,true,1.0,0.8367774999999998
Liver,Apoptotic Body,Apoptotic-like,CLR model-predicted phenotype composition,CLR log-ratio units,0.15997577076433997,True,24,78022,detected_animals>=18 and total_class_count>=24 within organ,,Allulose vs Water,-1.8327329079382777,0.5123890745059215,-2.836997040041694,-0.8284687758348612,0.00034777504246325116,0.00235,24,7,9,8,true,0.09165000000000001,0.03055
Liver,Mitotic Figures,Mitotic-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Sucrose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Liver,Mitotic Figures,Mitotic-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Allulose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Liver,Minor Stromal Cell,Minor stromal-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Sucrose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Liver,Minor Stromal Cell,Minor stromal-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Allulose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Spleen,Lymphocytes,Lymphocyte-like,CLR model-predicted phenotype composition,CLR log-ratio units,0.8208993075869692,True,24,59305,detected_animals>=18 and total_class_count>=24 within organ,,Sucrose vs Water,-0.1973548231086364,0.3453496347710495,-0.874227669333955,0.47951802311668223,0.5676852755128705,0.53878,24,7,9,8,true,1.0,1.0
Spleen,Lymphocytes,Lymphocyte-like,CLR model-predicted phenotype composition,CLR log-ratio units,1.324225339858764,True,24,59305,detected_animals>=18 and total_class_count>=24 within organ,,Allulose vs Water,0.2808276393010234,0.28346547489649876,-0.274754482356657,0.8364097609587038,0.3218348595757683,0.2921,24,7,9,8,true,1.0,1.0
Spleen,Fibroblasts,Fibroblast-like,CLR model-predicted phenotype composition,CLR log-ratio units,1.151759695964314,True,24,419312,detected_animals>=18 and total_class_count>=24 within organ,,Sucrose vs Water,0.14129094326106673,0.27538710673023586,-0.3984578677368835,0.681039754259017,0.607907231677179,0.58482,24,7,9,8,true,1.0,1.0
Spleen,Fibroblasts,Fibroblast-like,CLR model-predicted phenotype composition,CLR log-ratio units,1.2805347448081006,True,24,419312,detected_animals>=18 and total_class_count>=24 within organ,,Allulose vs Water,0.24727776007152347,0.28482861490441064,-0.31097606690754986,0.8055315870505968,0.3853049232370087,0.36205,24,7,9,8,true,1.0,1.0
Spleen,Plasmocytes,Plasmocyte-like,CLR model-predicted phenotype composition,CLR log-ratio units,0.980129316398561,True,23,808,detected_animals>=18 and total_class_count>=24 within organ,,Sucrose vs Water,-0.02007076051414608,0.5520494156581498,-1.102067732890502,1.0619262118622097,0.9709978450894139,0.96925,24,7,9,8,true,1.0,1.0
Spleen,Plasmocytes,Plasmocyte-like,CLR model-predicted phenotype composition,CLR log-ratio units,0.8614463506401461,True,23,808,detected_animals>=18 and total_class_count>=24 within organ,,Allulose vs Water,-0.14914249931178825,0.6398571426692145,-1.4032394541941557,1.1049544555705793,0.8156937068230335,0.80224,24,7,9,8,true,1.0,1.0
Spleen,Eosinophils,Eosinophil-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Sucrose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Spleen,Eosinophils,Eosinophil-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Allulose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Spleen,Neutrophils,Neutrophil-like,CLR model-predicted phenotype composition,CLR log-ratio units,0.9591213098568131,True,24,1925,detected_animals>=18 and total_class_count>=24 within organ,,Sucrose vs Water,-0.04173771589761224,0.35311896329672715,-0.7338381662173187,0.6503627344220942,0.9059113116204177,0.89906,24,7,9,8,true,1.0,1.0
Spleen,Neutrophils,Neutrophil-like,CLR model-predicted phenotype composition,CLR log-ratio units,0.6632146383699944,True,24,1925,detected_animals>=18 and total_class_count>=24 within organ,,Allulose vs Water,-0.4106566030735287,0.46331543124676383,-1.3187381617988294,0.497424955651772,0.3754324758555665,0.35101,24,7,9,8,true,1.0,1.0
Spleen,Macrophages,Macrophage-like,CLR model-predicted phenotype composition,CLR log-ratio units,1.2081558190927812,True,24,83798,detected_animals>=18 and total_class_count>=24 within organ,,Sucrose vs Water,0.18909508050943302,0.26226070201525636,-0.32492645000066067,0.7031166110195267,0.4708975166325341,0.43719,24,7,9,8,true,1.0,1.0
Spleen,Macrophages,Macrophage-like,CLR model-predicted phenotype composition,CLR log-ratio units,1.4283072070734955,True,24,83798,detected_animals>=18 and total_class_count>=24 within organ,,Allulose vs Water,0.35648997178388486,0.2525801961674038,-0.13855811591228834,0.8515380594800581,0.15812870637232834,0.14442,24,7,9,8,true,0.8343919999999999,1.0
Spleen,Muscle Cell,Muscle-like,CLR model-predicted phenotype composition,CLR log-ratio units,1.13496163512346,True,24,1120,detected_animals>=18 and total_class_count>=24 within organ,,Sucrose vs Water,0.12659884870873792,0.3244531944771892,-0.5093177271355228,0.7625154245529987,0.6963950147080622,0.67909,24,7,9,8,true,1.0,1.0
Spleen,Muscle Cell,Muscle-like,CLR model-predicted phenotype composition,CLR log-ratio units,1.207822580081699,True,24,1120,detected_animals>=18 and total_class_count>=24 within organ,,Allulose vs Water,0.18881921793275652,0.38423885768637506,-0.5642751045933498,0.941913540458863,0.6231357551187322,0.60313,24,7,9,8,true,1.0,1.0
Spleen,Endothelial Cell,Endothelial-like,CLR model-predicted phenotype composition,CLR log-ratio units,0.6354522096020933,True,24,1320,detected_animals>=18 and total_class_count>=24 within organ,,Sucrose vs Water,-0.453418392435942,0.32830361657848167,-1.0968816569240132,0.1900448720521291,0.16724983787562198,0.15288,24,7,9,8,true,0.8343919999999999,1.0
Spleen,Endothelial Cell,Endothelial-like,CLR model-predicted phenotype composition,CLR log-ratio units,0.9773114160519351,True,24,1320,detected_animals>=18 and total_class_count>=24 within organ,,Allulose vs Water,-0.022949930490044346,0.3563146928526849,-0.7213138956437581,0.6754140346636694,0.9486444355922777,0.94466,24,7,9,8,true,1.0,1.0
Spleen,Red blood cell,RBC-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,1,1,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Sucrose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Spleen,Red blood cell,RBC-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,1,1,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Allulose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Spleen,Epithelial,Epithelial-like,CLR model-predicted phenotype composition,CLR log-ratio units,1.3871756722172695,True,24,24348,detected_animals>=18 and total_class_count>=24 within organ,,Sucrose vs Water,0.32726978956140157,0.35753616771702024,-0.3734882223344304,1.0280278014572335,0.360009300217495,0.34264,24,7,9,8,true,1.0,1.0
Spleen,Epithelial,Epithelial-like,CLR model-predicted phenotype composition,CLR log-ratio units,0.9728919420114633,True,24,24348,detected_animals>=18 and total_class_count>=24 within organ,,Allulose vs Water,-0.027482259477789428,0.413311495702204,-0.8375579054504907,0.7825933864949117,0.9469854496194507,0.94429,24,7,9,8,true,1.0,1.0
Spleen,Apoptotic Body,Apoptotic-like,CLR model-predicted phenotype composition,CLR log-ratio units,0.9308352570165127,True,24,5445,detected_animals>=18 and total_class_count>=24 within organ,,Sucrose vs Water,-0.07167297008430379,0.3382265712886317,-0.7345848684244911,0.5912389282558834,0.8321786850988353,0.81701,24,7,9,8,true,1.0,1.0
Spleen,Apoptotic Body,Apoptotic-like,CLR model-predicted phenotype composition,CLR log-ratio units,0.6292772774653617,True,24,5445,detected_animals>=18 and total_class_count>=24 within organ,,Allulose vs Water,-0.46318329673603875,0.3129831328076321,-1.0766189648075142,0.15025237133543679,0.13890031221634505,0.12795,24,7,9,8,true,0.8343919999999999,1.0
Spleen,Mitotic Figures,Mitotic-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Sucrose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Spleen,Mitotic Figures,Mitotic-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Allulose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Spleen,Minor Stromal Cell,Minor stromal-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Sucrose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
Spleen,Minor Stromal Cell,Minor stromal-like,CLR model-predicted phenotype composition,CLR log-ratio units,,False,0,0,detected_animals>=18 and total_class_count>=24 within organ,below prespecified organ-level prevalence/count threshold,Allulose vs Water,,,,,1.0,1.0,24,7,9,8,not_tested,1.0,1.0
